sample_times,z,d,nearest_labels,haptic_messages
0.6503269672393799,1.3813566666666666,nan,nan,l
0.810816764831543,1.3742258333333335,nan,nan,l
0.9607009887695312,1.3769941666666665,nan,nan,l
1.1209847927093506,1.3840994444444445,nan,nan,l
1.154855489730835,1.3748908333333334,nan,nan,l
1.4910635948181152,1.3692772222222223,nan,nan,l
1.6477737426757812,1.374241388888889,nan,nan,l
1.8575313091278076,1.3612027777777778,nan,nan,l
2.011929750442505,1.3618391666666667,nan,nan,l
2.169076681137085,1.359628611111111,nan,nan,l
2.3485970497131348,1.3652888888888888,nan,nan,l
2.520314931869507,1.3641927777777778,nan,nan,l
2.6775312423706055,1.3690141666666666,nan,nan,l
2.8313238620758057,1.397217777777778,nan,nan,l
3.1553239822387695,1.4410180555555556,nan,nan,l
3.2848610877990723,1.4436072222222223,nan,nan,l
3.427701711654663,1.445605,nan,nan,l
3.5928361415863037,1.457146388888889,nan,nan,l
3.884129762649536,1.4850755555555557,nan,nan,l
4.021853685379028,1.5025333333333333,nan,nan,l
4.539753437042236,1.5318116666666668,nan,nan,l
4.740507125854492,1.5245825,nan,nan,l
4.858639478683472,1.537848611111111,nan,nan,l
5.393505334854126,1.5890858333333333,nan,nan,l
5.557857036590576,1.6012347222222223,nan,nan,l
5.667389392852783,1.6021638888888887,nan,nan,l
5.850968360900879,1.6132302777777776,nan,nan,l
6.044353008270264,1.6066702777777777,nan,nan,l
6.153843402862549,1.607088888888889,nan,nan,l
6.657921552658081,1.6100775,nan,nan,l
6.952768564224243,1.6006547222222223,nan,nan,l
6.9855053424835205,1.6030058333333335,nan,nan,l
7.263514995574951,1.6077219444444444,nan,nan,l
7.670854806900024,1.6181524999999999,nan,nan,l
7.8244524002075195,1.6487141666666667,1.4303028548207462,cell phone,l
7.8500916957855225,1.6557394444444444,1.6621160888671875,person,l
8.145677328109741,1.6704533333333333,1.6828162841796874,person,l
8.278233766555786,1.6726524999999999,1.6830137939453125,person,l
8.457833528518677,1.6826658333333333,1.706705322265625,person,l
8.487202167510986,1.6935433333333334,1.7164278564453126,person,l
8.910707235336304,1.6891419444444444,1.6497342923410236,person,l
9.065359592437744,1.6822244444444445,1.643152502908864,person,l
9.17894697189331,1.6774902777777776,1.6368248333616062,person,l
9.35828185081482,1.6746616666666667,1.6276732820875413,person,l
9.49678087234497,1.683945277777778,1.71434912109375,person,l
9.710901975631714,1.6835408333333333,1.6284623639685207,person,l
9.821985721588135,1.671486388888889,1.7100501708984375,person,l
10.099714756011963,1.674409722222222,1.6302522731085725,person,l
10.270262956619263,1.6738352777777776,1.642557229968665,person,l
10.429691791534424,1.6668116666666668,1.6384205773325515,person,l
10.573988199234009,1.6746241666666668,1.6399758973320382,person,l
10.980162620544434,1.6767266666666667,1.6457614259476245,person,l
11.147926330566406,1.677501111111111,1.72084814453125,person,l
11.290573596954346,1.6759780555555555,1.7246917724609374,person,l
12.041245937347412,1.6715794444444443,1.7119593505859374,person,l
12.238726377487183,1.6793255555555557,1.647708361598016,person,l
12.350742816925049,1.6747297222222224,1.6468881688555566,person,l
12.895256757736206,1.6773666666666665,1.6501405605068156,person,l
13.058604717254639,1.675286388888889,1.6604287453948972,person,l
13.221451997756958,1.6744766666666666,1.6596194211490887,person,l
13.375348091125488,1.6742925,1.667939412622103,person,l
13.497223615646362,1.6756061111111111,1.7227308349609376,person,l
13.661253213882446,1.6768652777777777,1.6653381277591146,person,l
14.195975065231323,1.6744886111111112,1.6692722291634077,person,l
14.378319263458252,1.671635,1.7265185546875,person,l
14.493575096130371,1.6760005555555555,1.671922578239516,person,l
15.038450002670288,1.671056388888889,1.7318162841796876,person,c
15.15395474433899,1.67521,1.7268343505859376,person,l
15.474670171737671,1.674803611111111,1.7251494140625,person,c
15.587508201599121,1.6706805555555557,1.652692552000474,person,l
15.921630144119263,1.6739980555555556,1.6371113856407717,person,c
16.031192541122437,1.674358611111111,1.6389060864386296,person,r
16.303563833236694,1.6726561111111111,1.7119617919921875,person,c
16.513620376586914,1.6744730555555554,1.714956298828125,person,r
16.67930245399475,1.6729483333333333,1.6410278098945028,person,r
16.78991985321045,1.6763638888888888,1.6424775201010278,person,r
17.059664964675903,1.6718805555555554,1.633102660881999,person,r
17.274638175964355,1.6752702777777777,1.7187991943359375,person,r
17.387068510055542,1.6787080555555556,1.6447753318612308,person,r
17.677430391311646,1.6740733333333333,1.714610107421875,person,r
17.835952043533325,1.6745083333333335,1.6370322166294469,person,r
17.981757879257202,1.6777783333333334,1.7137794189453126,person,r
18.162871837615967,1.6747894444444444,1.71218408203125,person,r
18.32154607772827,1.674852777777778,1.7129818115234374,person,r
18.465389251708984,1.6745491666666668,1.641957279854084,person,r
19.010103702545166,1.67824,1.7165189208984375,person,r
19.168253421783447,1.6774930555555556,1.62718925809291,person,r
19.322035789489746,1.6800358333333334,1.710511474609375,person,r
19.433197498321533,1.6724483333333333,1.7023629150390625,person,r
19.872759342193604,1.663701388888889,1.7024476318359374,person,r
20.025412797927856,1.6679441666666666,1.70619677734375,person,r
20.142414569854736,1.6575916666666668,1.70446923828125,person,r
20.423523902893066,1.6577877777777779,1.70846875,person,r
20.63088083267212,1.6505402777777778,1.7020399169921876,person,r
20.747855186462402,1.639834722222222,1.6244213360033302,person,r
21.387959241867065,1.5968916666666666,1.6717596435546875,person,r
21.52644944190979,1.5950894444444446,1.6654151611328125,person,r
21.69404911994934,1.592016388888889,1.6239466409756156,person,u
22.10181474685669,1.5935852777777777,1.655844482421875,person,u
22.25737500190735,1.5937130555555554,1.622067652809509,person,u
22.40254831314087,1.5949805555555556,1.6554233667880798,person,u
22.677371978759766,1.5945116666666668,1.646044189453125,person,c
23.19072651863098,1.5878108333333332,1.6559360046308844,person,d
23.570804119110107,1.5804044444444443,1.643704833984375,person,d
23.747889041900635,1.579816111111111,1.6263379257205262,person,d
23.90170431137085,1.5822322222222223,1.6422830810546876,person,d
24.072089910507202,1.5753255555555556,1.6465069580078124,person,r
24.21011710166931,1.5793794444444444,1.6277219499412148,person,r
24.554152250289917,1.5764236111111112,1.6337907796685966,person,r
24.664881467819214,1.5815563888888888,1.619608955606214,person,r
24.928475379943848,1.5703708333333335,1.6136095400470445,person,d
25.137871265411377,1.5713294444444443,1.6193959818875425,person,d
25.250521183013916,1.5749016666666666,nan,nan,r
25.42880630493164,1.5696777777777777,1.6142196619859253,person,d
25.961727142333984,1.569601111111111,nan,nan,d
26.072229146957397,1.5710563888888889,nan,nan,d
26.977237701416016,1.5676066666666666,1.610065133060674,person,d
27.140581846237183,1.574516388888889,nan,nan,d
27.30115842819214,1.5843277777777778,nan,nan,d
27.41551661491394,1.5865502777777778,nan,nan,d
27.85910701751709,1.5775819444444443,nan,nan,r
28.019309043884277,1.5775730555555556,nan,nan,r
28.12815833091736,1.5772230555555555,nan,nan,d
28.4568350315094,1.5879391666666667,1.614235133754374,person,r
28.565491199493408,1.6098922222222223,nan,nan,r
28.848984003067017,1.6179772222222222,1.6151240017309028,person,r
29.019314765930176,1.6106680555555557,1.532023976220888,cell phone,r
29.158796548843384,1.602272222222222,1.601904140874474,person,r
29.323399782180786,1.6117919444444444,1.450875368309566,cell phone,d
29.707338571548462,1.5663855555555555,1.564738807463907,cell phone,d
29.881627798080444,1.5750516666666667,1.5869091214243023,person,d
30.073697805404663,1.5912494444444445,1.5836664627299186,person,d
30.188328981399536,1.6168933333333335,1.575535449401966,cell phone,d
30.593607187271118,1.6571833333333335,1.616860298109135,cell phone,d
30.757864713668823,1.6520541666666666,1.5157287346283543,cell phone,d
30.894126415252686,1.6309988888888889,1.606558826529481,cell phone,u
31.527369737625122,1.6132658333333334,1.4089191430516996,cell phone,u
31.67335033416748,1.5858733333333332,1.5005506738963377,cell phone,u
32.19423985481262,1.5604266666666666,1.4822840058272835,cell phone,u
32.33331799507141,1.5456577777777778,1.4731496348177455,person,u
